('RSSMRA80A01H501Z', 'Mario', 'Rossi', '0', '+', '+393315849201'),
('TFNSTT81F32M312S', 'Simona', 'Martino', '0', '+', '+393348576920'),
('DLMTNT82G33L219T', 'Luca', 'Fabbri', 'B', '+', '3804958671'),
('QFNTTR83H34D205Y', 'Giovanni', 'Giordano', '0', '-', '+393384756291'),
('RPLNTL84I35M312W', 'Alessandra', 'Ricci', 'A', '+', '3495867123'),
('SRTNTM85J36L219V', 'Michele', 'Neri', '0', '+', '+393409827364'),
('QTRNMT86K37D205X', 'Francesco', 'Santoro', 'A', '+', '3338475612'),
('LMNTNR87L38M312S', 'Barbara', 'Gatti', '0', '+', '+393318475629'),
('PNTRNT88M39D205W', 'Simone', 'Grandi', 'A', '-', '3475839201'),
('DRTLNT89N40L219T', 'Giovanni', 'Verdi', '0', '+', '+393384950291'),
('GLNTNT80O41M312V', 'Riccardo', 'Cipriani', 'A', '+', '3394857261'),
('QPNNTN81P42L219V', 'Bianca', 'Bianchi', '0', '-', '+393459827364'),
('RMTNTN82Q43D205X', 'Simona', 'Ricci', 'B', '+', '3338475612'),
('LNRTNT83R44M312S', 'Francesco', 'Galli', '0', '+', '+393318475629'),
('MNTLNT84S45L219T', 'Giovanni', 'Moretti', 'A', '+', '3495867123'),
('QGTNTT85T46D205Y', 'Barbara', 'Falcone', '0', '+', '+393209847561'),
('LNTGNT86U47M312W', 'Simone', 'Tarantino', 'A', '-', '3284756192'),
('PRTNTN80A01M312X', 'Giovanni', 'Sartori', '0', '+', '+393475869201'),
('MLGRTN81B02D205W', 'Francesca', 'Ricci', 'A', '+', '3348576920'),
('QFSNRT82C03L219V', 'Simone', 'Giovanni', '0', '+', '+393804958671'),
('DPTNTN83D04M312W', 'Riccardo', 'Rossi', 'A', '+', '3384756291'),
('LNMTNR84E05D205Y', 'Barbara', 'Santi', '0', '-', '+393495867123'),
('TCLBNT85F06L219T', 'Giorgio', 'Valente', 'B', '+', '3409827364'),
('MFNSLT86G07D205X', 'Alessandra', 'Gravina', '0', '+', '+393338475612'),
('RJMTNT87H08M312S', 'Luca', 'Monti', 'A', '+', '3318475629'),
('SLVRTN88I09L219V', 'Francesco', 'Tocci', '0', '+', '+393475839201'),
('PFGNTL89J10D205W', 'Giovanni', 'Pellegrini', 'A', '-', '3384950291'),
('QNLBNR80K11M312T', 'Simona', 'Salvi', '0', '+', '+393394857261'),
('GMSNTR81L12L219V', 'Michele', 'Ricci', 'A', '+', '3459827364'),
('DPTNRV82M13D205X', 'Giorgio', 'Fusco', '0', '+', '+393338475612'),
('LVFTRN83N14M312S', 'Alessandra', 'Tartaglia', 'A', '+', '3318475629'),
('RHGMNT84O15L219T', 'Francesco', 'Lucarelli', '0', '-', '+393495867123'),
('FQGRNT85P16D205Y', 'Barbara', 'Mazzoli', 'B', '+', '3209847561'),
('QJRTNS86Q17M312W', 'Luca', 'Mellini', '0', '+', '+393284756192'),
('GFMNNT87R18L219V', 'Simona', 'Furlani', 'A', '+', '3475869201'),
('SNRGNT88S19D205X', 'Giovanna', 'Leoni', '0', '+', '+393348576920'),
('PHTRNS89T20M312X', 'Francesca', 'Sarti', 'A', '-', '3804958671'),
('MFNSNR80U21L219T', 'Riccardo', 'Monti', '0', '+', '+393384756291'),
('JRTNTN81V22M312W', 'Simona', 'Rovelli', 'A', '+', '3495867123'),
('PTSNMT82W23L219V', 'Luca', 'Marchi', '0', '+', '+393409827364'),
('SHNTNT83X24D205Y', 'Giovanni', 'Fabiani', 'A', '+', '3338475612'),
('MGNTLT84Y25M312S', 'Francesco', 'Ferri', '0', '-', '+393318475629'),
('PNFTRN85Z26L219V', 'Simona', 'Bernardi', 'B', '+', '3475839201'),
('SHNTNT86A27M312X', 'Giovanni', 'Leone', '0', '+', '+393384950291'),
('GPRBNT87B28D205W', 'Francesca', 'Fasano', 'A', '+', '3394857261'),
('LMNTNT88C29L219T', 'Luca', 'Rossi', '0', '+', '+393459827364'),
('VPTGRN80D30M312W', 'Alessandra', 'Galante', 'A', '-', '3338475612'),
('TFNSTT81E31D205X', 'Michele', 'Sartori', '0', '+', '+393318475629'),
('DLMTNT82F32L219V', 'Simona', 'Gatti', 'A', '+', '3495867123'),
('QFNTTR83G33D205W', 'Giovanni', 'Greco', '0', '-', '+393209847561'),
('RPLNTL84H34M312S', 'Francesca', 'Ricci', 'A', '+', '3284756192'),
('SRTNTM85I35L219T', 'Luca', 'Filippo', '0', '+', '+393475869201'),
('QTRNMT86J36D205X', 'Giovanni', 'Ferro', 'B', '+', '3348576920'),
('LNRTNT87K37M312W', 'Francesca', 'Grillo', '0', '+', '+393804958671'),
('MNTLNT88L38L219V', 'Simona', 'Caputo', 'A', '+', '3384756291'),
('QGTNTT89M39D205X', 'Luca', 'Valeri', '0', '+', '+393495867123'),
('LNTGNT80N40M312S', 'Francesco', 'Montano', 'A', '-', '3409827364'),
('RNTNTN81O41L219T', 'Giovanni', 'Pellegrini', '0', '+', '+393338475612'),
('TFLNTT82P42M312W', 'Michele', 'Garrone', 'A', '+', '3318475629'),
('PSNTRN83Q43D205Y', 'Simona', 'Lodovico', '0', '-', '+393475839201'),
('GNRNTN84R44M312T', 'Giovanni', 'Luciani', 'A', '+', '3384950291'),
('FRMTNT85S45L219V', 'Francesca', 'Conti', '0', '+', '+393394857261'),
('BNFTRN86T46D205W', 'Luca', 'Vittori', 'B', '+', '3459827364'),
('QMNTNT87U47M312X', 'Giovanni', 'Fiorentini', '0', '+', '+393338475612'),
('LGRNTT88V48L219T', 'Michela', 'Zamboni', 'A', '+', '3318475629'),
('PLNTRN80A01M312W', 'Giovanni', 'Bertoli', '0', '+', '+393495867123'),
('MSNLTT81B02D205X', 'Simona', 'Calabrese', 'A', '-', '3209847561'),
('FJGRNT82C03L219T', 'Luca', 'Ricciardi', '0', '-', '+393284756192'),
('VRMNTT83D04M312V', 'Francesca', 'Giovannetti', 'A', '+', '3475869201'),
('TLNTRN84E05D205Y', 'Giovanni', 'Lanzano', '0', '+', '+393348576920'),
('SNFRNT85F06L219S', 'Alessandra', 'Gabriele', 'A', '+', '3804958671'),
('LVRNTT86G07M312X', 'Riccardo', 'Sannino', '0', '+', '+393384756291'),
('MRNTLT87H08L219V', 'Francesca', 'Cavaliere', 'B', '+', '3495867123'),
('JRFNTN88I09D205W', 'Simona', 'Petrillo', '0', '+', '+393409827364'),
('GRNTLR89J10M312S', 'Giovanni', 'Ruggeri', 'A', '+', '3338475612'),
('PRNTNT80K11L219T', 'Francesca', 'Fiore', '0', '-', '+393318475629'),
('FRTNTT81L12D205Y', 'Luca', 'Vaglio', 'A', '+', '3475839201'),
('TLNTNT82M13M312W', 'Simona', 'Lombardi', '0', '+', '+393384950291'),
('VLNTRN83N14L219V', 'Giovanni', 'Ricci', 'A', '-', '3394857261'),
('QNLRNT84O15D205X', 'Francesca', 'Barbieri', '0', '+', '+393459827364'),
('TGMTNT85P16L219T', 'Luca', 'Moretti', 'A', '+', '3338475612'),
('FNSNTR86Q17M312Y', 'Giovanni', 'Giordano', '0', '+', '+393318475629'),
('LTLNNT87R18D205W', 'Francesca', 'Rossi', 'B', '+', '3495867123'),
('MFLNTT88S19L219T', 'Simona', 'Ferri', '0', '-', '+393209847561'),
('GRNTNT89T20M312X', 'Giovannina', 'Sarti', 'A', '+', '3284756192'),
('TNFRNT80U21L219V', 'Luca', 'Barbieri', '0', '+', '+393475869201'),
('VQNTNT81V22D205Y', 'Francesca', 'Santoro', 'A', '+', '3348576920'),
('FJNTNT82W23M312W', 'Giovanni', 'Morandi', '0', '+', '+393804958671'),
('SMNTRN83X24L219T', 'Alessandra', 'Valli', 'A', '-', '3384756291'),
('TLNTNT84Y25D205X', 'Luca', 'Pellegrini', '0', '+', '+393495867123'),
('PLFNTT85Z26M312Y', 'Giovanni', 'Tartaglia', 'A', '+', '3409827364'),
('MQNTNT86A27D205W', 'Francesca', 'Ferrara', '0', '-', '+393338475612'),
('FNGRNT87B28L219V', 'Luca', 'Vespa', 'B', '+', '3318475629'),
('QNTNTT88C29M312S', 'Simona', 'Morandi', '0', '+', '+393475839201'),
('GRNTNR89D30L219T', 'Giovanni', 'Gallo', 'A', '+', '3384950291'),
('MRNTNT80E31D205X', 'Francesca', 'Mazzola', '0', '+', '+393394857261'),
('JQNTRN81F32M312W', 'Simona', 'Giordano', 'A', '+', '3459827364'),
('LNTNTT82G33L219V', 'Luca', 'Ferrero', '0', '+', '+393338475612'),
('VRTNTT83H34M312X', 'Giovanni', 'Monaco', 'A', '-', '3318475629'),
('TNFLNT84I35D205Y', 'Francesca', 'Ruggeri', '0', '+', '+393495867123'),
('PGRNTN85J36L219S', 'Luca', 'Ciccarelli', 'B', '+', '3209847561'),
('NMTNTT86K37M312W', 'Simona', 'Della Rocca', '0', '-', '+393284756192'),
('SFRNNT87L38D205X', 'Giovanni', 'Tondo', 'A', '+', '3475869201'),
('LNTTRN88M39L219T', 'Francesca', 'Marinelli', '0', '+', '+393348576920'),
('MFRTNT89N40M312X', 'Giovanni', 'Bianco', 'A', '+', '3804958671'),
('PNTNTT80O41D205Y', 'Luca', 'Santoro', '0', '+', '+393384756291'),
('VNTNTT81P42L219S', 'Francesca', 'Rossi', 'A', '-', '3495867123'),
('MNTNTT82Q43M312W', 'Giovanni', 'Cavallaro', '0', '+', '+393409827364'),
('GFNTNT83R44D205X', 'Luca', 'Fioretti', 'A', '+', '3338475612'),
('TNFNTT84S45L219T', 'Francesca', 'Montani', '0', '-', '+393318475629'),
('GRNTNT85T46M312Y', 'Giovanni', 'Vaglio', 'B', '+', '3475839201'),
('PLRNTT86U47D205W', 'Simona', 'Della Rovere', '0', '+', '+393384950291'),
('VQNTNT87V48M312X', 'Luca', 'Tufano', 'A', '+', '3394857261'),
('GRNTNT88W49L219V', 'Giovanni', 'Giuliani', '0', '+', '+393459827364'),
('RMTTNT80X50D205Y', 'Francesca', 'Santini', 'A', '+', '3338475612'),
('JLRNTT81Y51M312S', 'Luca', 'Lucarelli', '0', '+', '+393318475629'),
('MRNTNT82Z52D205X', 'Giovanni', 'Mele', 'A', '-', '3495867123'),
('GRTNTT83A53L219T', 'Simona', 'Ricciardi', '0', '+', '+393209847561'),
('QNFRNT84B54M312Y', 'Luca', 'Rosati', 'B', '+', '3284756192'),
('SNNTNT85C55D205W', 'Giovanni', 'Tartaglione', '0', '-', '+393475869201'),
('VFRNTT86D56L219S', 'Francesca', 'Della Vecchia', 'A', '+', '3348576920'),
('MNNTNT87E57M312T', 'Luca', 'Gambini', '0', '+', '+393804958671'),
('PGRNTN88F58D205X', 'Giovanni', 'Gallo', 'A', '+', '3384756291'),
('RTNTNT89G59M312W', 'Francesca', 'Ricci', '0', '+', '+393495867123'),
('MLNTNT80H60L219T', 'Simona', 'Graziani', 'A', '-', '3409827364'),
('TQNTNT81I61D205W', 'Giovanni', 'Cavalli', '0', '+', '+393338475612'),
('VNFRNT82J62M312Y', 'Francesca', 'Giorgi', 'A', '+', '3318475629'),
('GQNTNT83K63L219V', 'Luca', 'De Santis', '0', '+', '+393475839201'),
('FMNTNT84L64D205X', 'Simona', 'Rovelli', 'B', '+', '3384950291'),
('VRNTNT85M65M312W', 'Giovanni', 'Luppi', '0', '-', '+393394857261'),
('PNNTNT86N66L219T', 'Francesca', 'Gatti', 'A', '+', '3459827364'),
('LFNTNT87O67D205Y', 'Luca', 'Cappelli', '0', '+', '+393338475612'),
('RMTNTT88P68M312S', 'Giovanni', 'Fasano', 'A', '+', '3318475629'),
('NFRNTT89Q69D205W', 'Simona', 'Luciani', '0', '+', '+393495867123'),
('JGRNNT80R70M312Y', 'Giovanni', 'Tartari', 'A', '-', '3209847561'),
('MNTNNT81S71L219V', 'Francesca', 'Minerva', '0', '+', '+393284756192'),
('TFRNTT82T72D205X', 'Luca', 'Caruso', 'B', '+', '3475869201'),
('VGRNTN83U73M312W', 'Giovanni', 'Tassi', '0', '+', '+393348576920'),
('SNNTNT84V74L219T', 'Francesca', 'Di Matteo', 'A', '+', '3804958671'),
('MNNTNT85W75D205Y', 'Luca', 'Venti', '0', '-', '+393384756291'),
('PNTNTN86X76M312S', 'Giovanni', 'Petrone', 'A', '+', '3495867123'),
('VGRNTN87Y77L219V', 'Francesca', 'Carminati', '0', '+', '+393409827364'),
('QNNTNT88Z78D205X', 'Luca', 'Russi', 'A', '+', '3338475612'),
('TNTNTN89A79M312T', 'Giovanni', 'Di Stefano', '0', '+', '+393318475629'),
('GRNTNT80B80L219S', 'Simona', 'Marchesi', 'A', '-', '3475839201'),
('NTNTNT81C81D205W', 'Lucia', 'Marinelli', '0', '+', '+393384950291'),
('FRNTNT82D82M312Y', 'Giovanni', 'Ferrarese', 'B', '+', '3394857261'),
('MTNTNT83E83L219T', 'Francesca', 'Gravina', '0', '-', '+393459827364'),
('NTNTNT84F84D205X', 'Lucia', 'Mazzoli', 'A', '+', '3338475612'),
('VNNTNT85G85M312S', 'Giovanni', 'Giannini', '0', '+', '+393318475629'),
('GFNTNT86H86L219V', 'Francesca', 'Costa', 'A', '+', '3495867123'),
('LNNTNT87I87D205Y', 'Luca', 'Vitali', '0', '+', '+393209847561'),
('QRNTNT88J88M312W', 'Giovanni', 'Frasca', 'A', '-', '3284756192'),
('TNNTNT89K89L219T', 'Francesca', 'Cavallaro', '0', '+', '+393475869201'),
('MNTNTN80L90D205X', 'Luca', 'D’Angelo', 'B', '+', '3348576920');
